,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kailua,21.4,-157.74,82.4,69,90,6.93,US,1594927446
1,half moon bay,37.46,-122.43,75.99,72,5,11.41,US,1594927264
2,norman wells,65.28,-126.83,62.6,82,90,6.93,CA,1594927271
3,isiro,2.77,27.62,67.96,97,100,1.48,CD,1594927580
4,igrim,63.19,64.42,59.14,92,100,8.01,RU,1594927580
5,port elizabeth,-33.92,25.57,46.4,87,47,3.36,ZA,1594927465
6,tiksi,71.69,128.87,35.85,89,14,19.1,RU,1594927478
7,pachuca,20.12,-98.73,71.92,42,7,11.25,MX,1594927581
8,povrly,50.67,14.16,57.0,97,29,5.53,CZ,1594927582
9,punta arenas,-53.15,-70.92,33.8,74,75,5.82,CL,1594927463
10,saint anthony,45.02,-93.22,84.2,32,20,12.75,US,1594927473
11,khatanga,71.97,102.5,50.95,83,100,12.44,RU,1594927462
12,prudentopolis,-25.21,-50.98,66.63,65,74,3.8,BR,1594927582
13,bluff,-46.6,168.33,38.19,88,50,10.92,NZ,1594927254
14,indianola,41.36,-93.56,82.0,57,75,0.94,US,1594927583
15,ushuaia,-54.8,-68.3,33.8,89,0,3.36,AR,1594927456
16,hasaki,35.73,140.83,64.4,93,75,9.17,JP,1594927476
17,arrecife,28.96,-13.55,80.6,54,20,16.11,ES,1594927441
18,changji,44.02,87.32,78.8,36,0,8.95,CN,1594927458
19,belmonte,-15.86,-38.88,75.2,73,75,10.29,BR,1594927480
20,longyearbyen,78.22,15.64,46.4,75,75,3.36,SJ,1594927469
21,hilo,19.73,-155.09,80.6,65,90,3.87,US,1594927418
22,kruisfontein,-34.0,24.73,48.61,53,52,3.51,ZA,1594927494
23,busselton,-33.65,115.33,53.01,87,57,10.56,AU,1594927585
24,muri,23.37,85.87,80.47,84,85,7.45,IN,1594927586
25,sorland,67.67,12.69,59.0,82,99,6.71,NO,1594927534
26,tawang,27.58,91.87,58.62,80,100,1.54,IN,1594927586
27,hermanus,-34.42,19.23,52.0,78,0,1.01,ZA,1594927459
28,pisco,-13.7,-76.22,63.0,87,90,3.36,PE,1594927479
29,mataura,-46.19,168.86,28.67,98,23,1.97,NZ,1594927457
30,khulna,22.81,89.57,81.95,87,99,6.06,BD,1594927375
31,oktyabrskiy,54.48,53.47,67.69,87,100,1.63,RU,1594927587
32,muli,2.92,73.57,84.63,67,100,3.04,MV,1594927587
